Designator,Mid X,Mid Y,Rotation,Layer
C1,191.4,-94.6,0.0,top
C2,99.2,-89.0,270.0,top
C3,149.1,-105.5,90.0,top
C4,175.4,-107.0,270.0,top
C5,169.0,-108.9,90.0,top
C6,185.6,-101.9625,180.0,top
C7,191.5,-91.2,0.0,top
D1,108.23,-94.5,0.0,bottom
D10,153.205,-84.2,0.0,bottom
D11,137.9,-80.0,180.0,top
D12,155.7,-79.8,180.0,top
D13,187.2,-83.2,0.0,top
D14,131.15,-79.0,90.0,top
D15,113.1,-78.9,90.0,top
D16,103.1,-102.15,90.0,top
D2,126.27,-94.5,0.0,bottom
D3,144.23,-94.5,0.0,bottom
D4,162.23,-94.5,0.0,bottom
D5,180.23,-94.5,0.0,bottom
D6,134.405,-84.3,0.0,bottom
D8,167.2,-104.65,90.0,top
F1,177.7,-89.3,180.0,top
J1,116.905,-120.5,270.0,top
J10,144.0,-80.45,270.0,top
J11,126.0,-80.45,270.0,top
J12,108.0,-80.45,270.0,top
J13,191.2,-84.1,180.0,top
J14,173.3,-85.495,0.0,top
J15,113.9,-84.43,180.0,top
J16,96.8,-100.0,270.0,top
J2,171.2,-95.2,180.0,top
J3,108.0,-119.45,90.0,top
J4,126.0,-119.45,90.0,top
J5,144.0,-119.45,90.0,top
J6,162.0,-119.45,90.0,top
J7,180.0,-119.5,90.0,top
J8,180.0,-80.5,270.0,top
J9,162.0,-80.45,270.0,top
L1,172.125,-101.75,180.0,top
R1,117.5,-114.45,0.0,top
R10,172.6,-109.8,180.0,top
R11,103.1,-94.6,0.0,top
R12,121.1,-94.5,0.0,top
R13,139.0,-94.5,0.0,top
R14,157.1,-94.5,0.0,top
R15,175.6,-95.4,90.0,top
R16,186.45,-105.4,90.0,top
R17,188.55,-105.4,90.0,top
R18,190.65,-105.4,90.0,top
R19,192.75,-105.4,270.0,top
R2,135.5,-114.45,0.0,top
R20,182.3,-109.35,270.0,top
R21,163.35,-108.6,180.0,top
R22,152.1,-105.45,0.0,top
R23,120.35,-106.6,180.0,top
R24,113.7,-106.15,0.0,top
R25,99.95,-107.45,270.0,top
R26,101.95,-107.45,90.0,top
R27,151.8,-87.1,180.0,top
R3,153.4,-114.4,0.0,top
R4,171.4,-114.3,0.0,top
R5,189.65,-114.35,0.0,top
R6,192.45,-97.4,90.0,top
R7,134.0,-80.0,180.0,top
R9,176.0,-109.8,0.0,top
SW1,108.0,-102.75,270.0,bottom
SW11,168.4,-84.2,90.0,bottom
SW2,126.0,-102.75,270.0,bottom
SW3,144.0,-102.75,270.0,bottom
SW4,162.0,-102.75,270.0,bottom
SW5,180.0,-102.75,270.0,bottom
U1,127.65,-99.975,0.0,top
U2,116.0,-115.73,0.0,bottom
U3,134.0,-115.73,0.0,bottom
U4,152.0085,-115.73,0.0,bottom
U5,170.0,-115.73,0.0,bottom
U6,187.9915,-115.73,0.0,bottom
U7,189.35,-97.4,180.0,top
U8,172.215,-106.95,180.0,top
U9,189.2575,-101.6,180.0,top
